Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail ST (2WD) (5YR),USED,Automatic,2.5,Front,Unleaded,7.9,68300,Red / -,"Aspley, QLD",4.0,SUV,4.0,5.0,26990.0
Subaru,2016,Impreza,Sedan,2016 Subaru Impreza 2.0I-S (awd),USED,Automatic,2.0,AWD,Unleaded,6.8,59685,Blue / White,"Pinkenba, QLD",4.0,Sedan,4.0,5.0,22990.0
Hyundai,2019,Tucson,SUV,2019 Hyundai Tucson Active X (2WD) Black INT,USED,Automatic,2.0,Front,Unleaded,7.9,21580,Blue / Grey,"Chermside, QLD",4.0,SUV,4.0,5.0,32999.0
Mazda,2015,CX-5,SUV,2015 Mazda CX-5 Maxx (4X2),USED,Automatic,2.0,Front,Unleaded,6.4,74706,- / -,"Parkdale, VIC",4.0,SUV,4.0,5.0,23999.0
Kia,2013,Cerato,Sedan,2013 Kia Cerato SLI,USED,Automatic,2.0,Front,Unleaded,7.4,135500,White / Black,"Hendra, QLD",4.0,Sedan,4.0,5.0,16990.0
Kia,2020,Cerato,Sedan,2020 Kia Cerato GT Safety Pack,USED,Automatic,1.6,Front,Unleaded,6.8,35612,Red / Black,"Seaford, VIC",4.0,Sedan,4.0,5.0,32990.0
Mercedes-Benz,2015,C-CLASS,USED Dealer ad,2015 Mercedes-Benz C-CLASS,USED,Automatic,2.0,Rear,Unleaded,8.9,94153,White / -,"Slacks Creek, QLD",6.0,Missing,4.0,6.0,37990.0
Jeep,2017,Grand,SUV,2017 Jeep Grand Cherokee 75TH Anniversary (4X4),USED,Automatic,3.0,4WD,Diesel,7.5,169949,Black / -,"Wacol, QLD",6.0,SUV,4.0,5.0,32890.0
Ford,2018,Ranger,Melbourne City Toyota,2018 Ford Ranger XL Hi-Rider,USED,Automatic,2.0,Rear,Diesel,8.9,58834,White / Black,"Melbourne, VIC",6.0,Ute / Tray,4.0,6.0,33950.0
Holden,2018,Equinox,SUV,2018 Holden Equinox LS (fwd),USED,Automatic,1.5,Front,Unleaded,6.9,64213,Silver / -,"Oakleigh, VIC",4.0,SUV,4.0,5.0,23987.0
Suzuki,2010,Swift,Hatchback,2010 Suzuki Swift RE.4,USED,Automatic,1.5,Front,Unleaded,6.7,169100,Grey / -,"Ringwood, VIC",4.0,Hatchback,5.0,5.0,11999.0
Subaru,2018,Outback,SUV,2018 Subaru Outback 2.5I Premium,USED,Automatic,2.5,AWD,Unleaded,7.3,79981,White / Black,"Cranbourne, VIC",4.0,SUV,4.0,5.0,35888.0
Kia,2019,Sorento,SUV,2019 Kia Sorento GT-Line (4X4),USED,Automatic,2.2,AWD,Diesel,7.2,94671,White / Black,"Melton, VIC",4.0,SUV,4.0,7.0,39780.0
Volkswagen,2010,Golf,Wagon,2010 Volkswagen Golf 118 TSI Comfortline,USED,Automatic,1.4,Front,Premium,6.3,157346,Grey / Black,"Ringwood, VIC",4.0,Wagon,4.0,5.0,10888.0
Nissan,2015,X-Trail,SUV,2015 Nissan X-Trail ST-L (fwd),USED,Automatic,2.5,Front,Unleaded,7.9,214651,Silver / Black,"Brooklyn, VIC",4.0,SUV,4.0,5.0,17978.0
